Alloy_name,phases,Hardness,Al,Co,Cr,Cu,Fe,Mn,Ni,V,Nb
Al5.66Co18.87Cr18.87Fe18.87Mn18.87Ni18.87,unk,125,5.66,18.87,18.87,0,18.87,18.87,18.87,0,0
Al11Co18Cr22Fe22Mn5Ni22,unk,198,11,18,22,0,22,5,22,0,0
Al30.5Co16Cr18.5Fe16.5Mn5Ni13.5,unk,522,30.5,16,18.5,0,16.5,5,13.5,0,0
Al30Co6Cr35Fe6Mn18Ni5,unk,605,30,6,35,0,6,18,5,0,0
Al25.5Co9Cr35Fe10Mn15.5Ni5,unk,628,25.5,9,35,0,10,15.5,5,0,0
Al24Co18Cr35Fe10Mn7.5Ni5.5,unk,650,24,18,35,0,10,7.5,5.5,0,0
Co25Cr20Fe22.5Nb2.5Ni25V5,unk,215,0,25,20,0,22.5,0,25,5,2.5
Co25Cr20Fe20Nb5Ni25V5,unk,275,0,25,20,0,20,0,25,5,5
Co25Cr20Fe17.5Nb7.5Ni25V5,unk,501,0,25,20,0,17.5,0,25,5,7.5
Co25Cr20Fe15Nb10Ni25V5,unk,510,0,25,20,0,15,0,25,5,10
Co10Cr15Fe32.5Mn5Nb2.5Ni25V10,unk,277,0,10,15,0,32.5,5,25,10,2.5
Co10Cr15Fe30Mn5Nb5Ni25V10,unk,315.16,0,10,15,0,30,5,25,10,5
Co10Cr15Fe27.5Mn5Nb7.5Ni25V10,unk,449.16,0,10,15,0,27.5,5,25,10,7.5
Co10Cr15Fe25Mn5Nb10Ni25V10,unk,607.6,0,10,15,0,25,5,25,10,10
Al2.5Co10Cr15Fe27.5Mn5Nb5Ni25V10,unk,318.42,2.5,10,15,0,27.5,5,25,10,5
Al2.5Co10Cr15Fe25Mn5Nb7.5Ni25V10,unk,519,2.5,10,15,0,25,5,25,10,7.5
Al2.5Co10Cr15Fe22.5Mn5Nb10Ni25V10,unk,589,2.5,10,15,0,22.5,5,25,10,10
Al2.5Co10Cr15Fe20Mn5Nb12.5Ni25V10,unk,613.9,2.5,10,15,0,20,5,25,10,12.5
Al18.2Co9.1Cr18.2Cu18.2Fe18.2Ni18.2,unk,473,18.2,9.1,18.2,18.2,18.2,0,18.2,0,0
Al18.2Co18.2Cr9.1Cu18.2Fe18.2Ni18.2,unk,367,18.2,18.2,9.1,18.2,18.2,0,18.2,0,0
Al18.2Co18.2Cr18.2Cu18.2Fe9.1Ni18.2,unk,418,18.2,18.2,18.2,18.2,9.1,0,18.2,0,0
Al18.2Co18.2Cr18.2Cu18.2Fe18.2Ni9.1,unk,423,18.2,18.2,18.2,18.2,18.2,0,9.1,0,0
Al5.3Co21.1Cr21.1Fe26.3Ni26.3,unk,168,5.3,21.1,21.1,0,26.3,0,26.3,0,0
Al12.5Co12.5Cr12.5Fe12.5Ni50,unk,225,12.5,12.5,12.5,0,12.5,0,50,0,0
Cr25Cu25Fe25Ni25,unk,143,0,0,25,25,25,0,25,0,0
Co5Cr23.8Cu23.8Fe23.8Ni23.8,unk,146,0,5,23.8,23.8,23.8,0,23.8,0,0
Co10Cr22.5Cu22.5Fe22.5Ni22.5,unk,150,0,10,22.5,22.5,22.5,0,22.5,0,0
Co15Cr21.3Cu21.3Fe21.3Ni21.3,unk,158,0,15,21.3,21.3,21.3,0,21.3,0,0
Co33.3Cr16.7Cu16.7Fe16.7Ni16.7,unk,175,0,33.3,16.7,16.7,16.7,0,16.7,0,0
Co25Cu25Fe25Ni25,unk,154,0,25,0,25,25,0,25,0,0
